country,fun_fact#,fun_fact
Ukraine,14,"Ukrainian is often cited as one of the most melodic languages in the world."
Ukraine,15,"The Vyshyvanka (embroidered shirt) is the most iconic piece of Ukrainian national clothing."
Croatia,1,"The necktie (cravat) originated in Croatia during the 17th century."
Croatia,2,"Croatia has over 1,200 islands, but only 48 are permanently inhabited."
Croatia,3,"The Dalmatian dog breed is named after the Croatian region of Dalmatia."
Croatia,4,"The world's smallest town, Hum, is located in Croatia and has about 30 residents."
Croatia,5,"The Sea Organ in Zadar uses waves to create music through a series of underwater pipes."
Croatia,6,"Croatia is the birthplace of Nikola Tesla, who was born in the village of Smiljan."
Croatia,7,"Game of Thrones was largely filmed in the city of Dubrovnik (King's Landing)."
Croatia,8,"The Roman amphitheater in Pula is one of the best-preserved in the world."
Croatia,9,"White House stone: Some of the stone used to build the White House came from the island of Brač."
Croatia,10,"Croatia has the highest number of UNESCO Intangible Goods in Europe."
Croatia,11,"The world's first torpedo was developed by Ivan Luppis in Rijeka in 1866."
Croatia,12,"Croatia has more than 10% of its land protected as national or nature parks."
Croatia,13,"The city of Split contains a living Roman palace (Diocletian's Palace) that people still live in today."
Croatia,14,"Zlatni Rat beach is famous because it changes shape depending on the wind and currents."
Croatia,15,"Croatia has won more Olympic medals in water polo than almost any other nation."
Serbia,1,"Serbia is the world's largest exporter of raspberries, accounting for about 30% of global supply."
Serbia,2,"The vampire myth actually originated in Serbia, not Romania (the word 'vampire' is Serbian)."
Serbia,3,"Belgrade is one of the oldest cities in Europe, with settlements dating back 7,000 years."
Serbia,4,"Seventeen Roman emperors were born in what is now modern-day Serbia."
Serbia,5,"The first satellite broadcast between Europe and North America used an image of a Serbian fresco."
Serbia,6,"Serbia is home to the 'Devil's Town' (Đavolja Varoš), a unique geological formation."
Serbia,7,"Serbia has the world's most expensive cheese, 'Pule,' made from donkey milk."
Serbia,8,"Belgrade has been destroyed and rebuilt 44 times throughout its history."
Serbia,9,"Serbia is the only country outside of Russia that uses the Cyrillic and Latin alphabets equally."
Serbia,10,"The clock-making industry in Serbia is older than the Swiss one by at least 200 years."
Serbia,11,"Constantine the Great, the first Christian Roman Emperor, was born in Niš, Serbia."
Serbia,12,"Serbia has the largest Orthodox church in the Balkans, the Temple of Saint Sava."
Serbia,13,"Serbia is home to the world's oldest urban settlement, Lepenski Vir."
Serbia,14,"Serbian scientist Mihajlo Pupin was a founding member of NASA (then NACA)."
Serbia,15,"The 'Morava' school of architecture is a unique Serbian medieval style."
Albania,1,"When Albanians shake their head from left to right, they mean 'yes'; a nod means 'no'."
Albania,2,"Albania has over 170,000 concrete bunkers built during the Cold War."
Albania,3,"In the early evening, Albanians take part in 'Xhiro', an official walk to socialize."
Albania,4,"Mother Teresa is the only Albanian Nobel Laureate."
Albania,5,"The country's energy production is 100% reliable on hydropower."
Albania,6,"Albania was the first country in the world to officially declare itself an atheist state (1967)."
Albania,7,"There are more Albanians living outside the country than inside it."
Albania,8,"The 'Code of Besa' is a traditional pledge of honor to protect guests at all costs."
Albania,9,"The official name for Albania is 'Shqipëria', which means 'Land of the Eagles'."
Albania,10,"Albania was never part of the Soviet Union or Yugoslavia; it was uniquely isolated."
Albania,11,"Lake Ohrid, shared with North Macedonia, is one of the oldest lakes in Europe."
Albania,12,"The national drink is Raki, a potent spirit usually made from grapes."
Albania,13,"Private car ownership was illegal in Albania until the fall of communism in 1991."
Albania,14,"Albania has 13 tiny islands, but only two are larger than one square kilometer."
Albania,15,"The Albanian language is a unique branch of the Indo-European family with no close relatives."
Belarus,1,"Around 40% of Belarus is covered by dense forests, often called the 'Lungs of Europe'."
Belarus,2,"The European Bison, the continent's heaviest land animal, is the national symbol."
Belarus,3,"The National Library of Belarus is shaped like a rhombicuboctahedron (a complex diamond shape)."
Belarus,4,"Belarusians have over 300 different recipes for potato dishes."
Belarus,5,"Independence Avenue in Minsk is one of the longest streets in Europe at 15 km."
Belarus,6,"Belarus is the only country in Europe that still carries out the death penalty."
Belarus,7,"The country is home to the Białowieża Forest, the last primeval forest in Europe."
Belarus,8,"Belarus has a 'Pancake Week' (Maslenitsa) where people eat pancakes to welcome spring."
Belarus,9,"World War II killed roughly 25% of the Belarusian population."
Belarus,10,"Minsk has been destroyed and rebuilt 18 times throughout history."
Belarus,11,"The first President of Israel, Chaim Weizmann, was born in Belarus."
Belarus,12,"Whistling inside a house is considered bad luck; it is believed to 'blow your money away'."
Belarus,13,"The 'World of Tanks' video game was created by a Belarusian company (Wargaming)."
Belarus,14,"Belarus has more than 11,000 lakes, earning it the nickname 'The Land of Blue Eyes'."
Belarus,15,"The Belarusian language has two different alphabets: Cyrillic and Latin (though Latin is rare)."
Bosnia and Herzegovina,1,"Sarajevo hosted the first-ever Winter Olympics in a communist country (1984)."
Bosnia and Herzegovina,2,"The country is often called the 'Heart-Shaped Land' because of its geographical shape."
Bosnia and Herzegovina,3,"The Stari Most (Old Bridge) in Mostar is a UNESCO site and a symbol of Balkan reconciliation."
Bosnia and Herzegovina,4,"Bosnia is home to the last remaining jungle in Europe, the Perućica Rainforest."
Bosnia and Herzegovina,5,"Sarajevo was the first city in Europe to have a full-time electric tram system (1885)."
Bosnia and Herzegovina,6,"There are three presidents in Bosnia and Herzegovina, representing the three main ethnic groups."
Bosnia and Herzegovina,7,"The national anthem of Bosnia and Herzegovina has no official lyrics."
Bosnia and Herzegovina,8,"The country is home to the 'Bosnian Pyramids', which some claim are the oldest in the world."
Bosnia and Herzegovina,9,"Coffee is a way of life here; Bosnia has the 10th highest coffee consumption in the world."
Bosnia and Herzegovina,10,"The 'Hajdučka Republika Mijata Tomića' is a self-proclaimed micronation within its borders."
Bosnia and Herzegovina,11,"The currency is the 'Convertible Mark', which cannot be exchanged outside the country."
Bosnia and Herzegovina,12,"Sarajevo was the site of the assassination of Archduke Franz Ferdinand, sparking WWI."
Bosnia and Herzegovina,13,"The 'Golden Lily' is the traditional national symbol of the Bosnian people."
Bosnia and Herzegovina,14,"Bosnia has a tiny 20 km stretch of coastline on the Adriatic Sea."
Bosnia and Herzegovina,15,"Traditional 'Sevdalinka' is a unique style of melancholy folk music native to Bosnia."
Cyprus,1,"Cyprus is the first country in the world to put its map on its national flag."
Cyprus,2,"Legend says the Greek goddess of love, Aphrodite, was born in Cyprus at Paphos."
Cyprus,3,"The world's oldest wine still in production, Commandaria, comes from Cyprus."
Cyprus,4,"Nicosia is the only divided capital city in the world (split between Greek and Turkish sides)."
Cyprus,5,"Halloumi cheese was invented in Cyprus during the Byzantine period."
Cyprus,6,"Cyprus enjoys an average of 320 days of sunshine every year."
Cyprus,7,"The entire city of Paphos is a UNESCO World Heritage Site."
Cyprus,8,"The world's oldest perfumes were discovered by archaeologists in Cyprus."
Cyprus,9,"Cyprus is one of the few places in the world where you can ski in the morning and swim in the afternoon."
Cyprus,10,"Cats were brought to Cyprus in the 4th century to hunt snakes; now they outnumber people."
Cyprus,11,"The Neolithic settlement of Choirokoitia is one of the best-preserved prehistoric sites in the Mediterranean."
Cyprus,12,"Cyprus has some of the cleanest beaches in Europe, consistently winning Blue Flag awards."
Cyprus,13,"The 'Wish Tree' in Paphos is covered in tied ribbons believed to bring good luck."
Cyprus,14,"Mount Olympus is the highest point in Cyprus, located in the Troodos Mountains."
Cyprus,15,"Cyprus is geographically in Asia but is culturally and politically European."
Kosovo,1,"Kosovo is the youngest country in Europe, having declared independence in 2008."
Kosovo,2,"More than 70% of the population is under the age of 35, making it the 'youngest' population in Europe."
Kosovo,3,"Like Cyprus, Kosovo is one of only two countries with its map on its flag."
Kosovo,4,"Kosovo is not in the EU, but it uses the Euro as its official currency."
Kosovo,5,"The name 'Kosovo' comes from the Serbian word for 'Field of the Blackbirds'."
Kosovo,6,"The 'Marble Cave' in Gadime is a rare geological wonder made entirely of marble."
Kosovo,7,"A street in the capital city of Pristina is named after Bill Clinton, complete with a statue."
Kosovo,8,"Kosovo is home to the 'National Library of Kosovo', often cited as one of the world's most unique (or ugliest) buildings."
Kosovo,9,"The 'Newborn' monument in Pristina is repainted every year to celebrate independence."
Kosovo,10,"Mother Teresa's parents were from Kosovo, and she is a highly revered figure there."
Kosovo,11,"Kosovo is landlocked and surrounded by Albania, Montenegro, Serbia, and North Macedonia."
Kosovo,12,"The city of Prizren is known as the 'Museum City' due to its well-preserved Ottoman architecture."
Kosovo,13,"Bear Sanctuary Prishtina provides a home for bears that were previously kept as restaurant attractions."
Kosovo,14,"Rugova Canyon is one of Europe's longest and deepest canyons."
Kosovo,15,"White-water rafting and hiking are major emerging tourist activities in the Accursed Mountains."
Luxembourg,1,"Luxembourg is the only Grand Duchy in the world (ruled by a Grand Duke)."
Luxembourg,2,"It was the first country in the world to make all public transport free."
Luxembourg,3,"Luxembourg has the highest minimum wage in the European Union."
Luxembourg,4,"Nearly half of the country's population consists of foreign residents."
Luxembourg,5,"Luxembourgish is the national language, but most people are trilingual (French and German)."
Luxembourg,6,"The capital, Luxembourg City, is built on massive fortifications and tunnels called the Casemates."
Luxembourg,7,"Luxembourg has won the Eurovision Song Contest five times."
Luxembourg,8,"The 'Schengen Agreement', which allows borderless travel in Europe, was signed in a small Luxembourgish village."
Luxembourg,9,"Luxembourg is one of the three official capitals of the European Union."
Luxembourg,10,"There are more than 70 castles still standing in this small country."
Luxembourg,11,"The average Luxembourgish citizen owns more cars than anyone else in the EU."
Luxembourg,12,"The Grand Duke's official birthday is celebrated on June 23rd, regardless of his actual birthday."
Luxembourg,13,"Luxembourg is one of the safest countries in the world."
Luxembourg,14,"The country has the highest concentration of Michelin-starred restaurants per capita."
Luxembourg,15,"The national motto is 'Mir wëlle bleiwe wat mir sinn' (We want to remain what we are)."
Malta,1,"Malta is one of the most densely populated countries in the world."
Malta,2,"The capital, Valletta, was the first ever planned city in Europe (built in 1566)."
Malta,3,"Malta has 365 churches—one for every day of the year."
Malta,4,"The 'Popeye Village' film set from the 1980 movie is still a major tourist attraction."
Malta,5,"Malta has no forests, no mountains, and no permanent rivers."
Malta,6,"The Megalithic Temples of Malta are older than the Egyptian Pyramids and Stonehenge."
Malta,7,"Malta was awarded the George Cross for its bravery during World War II."
Malta,8,"The 'Mosta Dome' church survived a direct hit from a bomb in WWII that failed to explode."
Malta,9,"Malta is a top filming location for movies like 'Gladiator' and 'Game of Thrones'."
Malta,10,"The national dish is 'Stuffat tal-Fenek' (rabbit stew)."
Malta,11,"The 'Silent City' of Mdina was the old capital and allows almost no cars today."
Malta,12,"Malta has three inhabited islands: Malta, Gozo, and the tiny Comino."
Malta,13,"The University of Malta is one of the oldest in the world outside of the UK (est. 1592)."
Malta,14,"Malta has two official languages: Maltese and English."
Malta,15,"The Calypso Cave in Gozo is said to be the one mentioned in Homer's 'Odyssey'."
Moldova,1,"The Milestii Mici wine cellar is the largest in the world, containing over 2 million bottles."
Moldova,2,"Moldova is the least visited country in Europe by tourists."
Moldova,3,"The official language is Romanian, but many people call it 'Moldovan'."
Moldova,4,"The country is shaped like a bunch of grapes, which is fitting as it's a major wine producer."
Moldova,5,"Moldova is the only country in Europe with a negative population growth rate."
Moldova,6,"The national animal is the Aurochs (an extinct wild ox) featured on the flag."
Moldova,7,"Moldova is landlocked but is only 2 kilometers away from the Black Sea at its nearest point."
Moldova,8,"The village of Soroca is known as the 'Gypsy Capital' of the world for its ornate mansions."
Moldova,9,"Chisinau, the capital, is one of the greenest cities in Europe."
Moldova,10,"Moldova celebrates a two-day 'National Wine Day' every October."
Moldova,11,"The Cricova winery is so large it has underground 'streets' named after wine types (e.g., Cabernet St.)."
Moldova,12,"Moldova has its own breakaway region called Transnistria, which has its own currency and government."
Moldova,13,"The traditional musical instrument is the 'Nai' (pan flute)."
Moldova,14,"Moldova has over 3,000 rivers, but only the Dniester and Prut are large."
Moldova,15,"The literacy rate in Moldova is nearly 100%."
Montenegro,1,"The name 'Montenegro' means 'Black Mountain'."
Montenegro,2,"Montenegro is the only country in the world that is not in the Eurozone but uses the Euro as its only currency."
Montenegro,3,"The Tara River Canyon is the deepest canyon in Europe and the second deepest in the world."
Montenegro,4,"The 'Bay of Kotor' is often called the southernmost fjord in Europe."
Montenegro,5,"Montenegro was the first country in the world to declare itself an 'ecological state' in its constitution."
Montenegro,6,"The world's oldest olive tree, 'Stara Maslina', is in Bar and is over 2,000 years old."
Montenegro,7,"Mount Lovćen is home to the highest mausoleum in the world."
Montenegro,8,"Montenegro only became an independent country in 2006."
Montenegro,9,"The 'Ostrog Monastery' is built into a vertical cliff face and is a major pilgrimage site."
Montenegro,10,"Montenegro has one of the tallest populations in the world, second only to the Netherlands."
Montenegro,11,"The capital, Podgorica, was once named 'Titograd' after Josip Broz Tito."
Montenegro,12,"The village of Njeguši is famous for its smoked ham (Pršut) and cheese."
Montenegro,13,"Crno Jezero (Black Lake) is a 'glacial eye' lake on Mount Durmitor."
Montenegro,14,"Montenegro has five national parks covering roughly 7% of its territory."
Montenegro,15,"The beach 'Velika Plaža' is one of the longest sandy beaches in Europe at 13 km."
North Macedonia,1,"North Macedonia is the only country to gain independence from Yugoslavia without any bloodshed."
North Macedonia,2,"Mother Teresa was born in the capital city of Skopje in 1910."
North Macedonia,3,"The Cyrillic alphabet was developed in the 9th century by two Macedonian brothers, Cyril and Methodius."
North Macedonia,4,"Lake Ohrid is one of the oldest and deepest lakes in the world, with over 200 endemic species."
North Macedonia,5,"North Macedonia has more mountains and mountain peaks than any other country in the world."
North Macedonia,6,"The city of Skopje has been destroyed by earthquakes multiple times, most recently in 1963."
North Macedonia,7,"Alexander the Great was the King of the ancient Kingdom of Macedon."
North Macedonia,8,"The 'Millennium Cross' in Skopje is one of the biggest crosses in the world."
North Macedonia,9,"The country was officially known as FYROM (Former Yugoslav Republic of Macedonia) until 2019."
North Macedonia,10,"The 'Kokino' observatory is one of the oldest in the world, dating back nearly 4,000 years."
North Macedonia,11,"North Macedonia is home to one of the world's deepest underwater caves, Cave Vrelo."
North Macedonia,12,"The national dish is 'Tavče Gravče' (beans cooked in a traditional skillet)."
North Macedonia,13,"North Macedonia has over 30 peaks that are higher than 2,000 meters."
North Macedonia,14,"Opium from Macedonia was once considered the best in the world due to its high morphine content."
North Macedonia,15,"The 'Balkan Elvis', Toše Proeski, was a beloved superstar from North Macedonia."
Russia,1,"Russia is the largest country in the world, covering over 17 million square kilometers."
Russia,2,"The Trans-Siberian Railway is the longest railway in the world, crossing 8 time zones."
Russia,3,"Russia has more time zones (11) than any other country in the world."
Russia,4,"Lake Baikal in Siberia is the deepest and oldest freshwater lake on Earth."
Russia,5,"Tetris was invented by Russian software engineer Alexey Pajitnov in 1984."
Russia,6,"Russia and the USA are only 4 km (2.4 miles) apart at their closest point in the Bering Strait."
Russia,7,"The Hermitage Museum in St. Petersburg is home to about 70 cats that protect the art from mice."
Russia,8,"Red Square has nothing to do with communism; the Russian word 'krasnaya' originally meant 'beautiful'."
Russia,9,"Russia produces more oxygen than any other country due to its vast Siberian forests."
Russia,10,"The Kremlin is the world's largest active medieval fortress."
Russia,11,"Russian is the most spoken native language in Europe."
Russia,12,"The Oymyakon valley is the coldest permanently inhabited place on Earth."
Russia,13,"Subway stations in Moscow are known as 'underground palaces' for their ornate architecture."
Russia,14,"Peter the Great once imposed a 'beard tax' to modernize Russian society."
Russia,15,"Russia has the world's largest stockpile of nuclear weapons."
France,1,"The Louvre is the most visited art museum in the world."
France,2,"It is illegal to throw away food in France; supermarkets must donate unsold edible food."
France,3,"France is known as 'L'Hexagone' because of its six-sided shape."
France,4,"The camera phone was invented in France in 1997 by Philippe Kahn."
France,5,"There are over 1,600 distinct types of French cheese."
France,6,"French was the official language of England for about 300 years (1066–1362)."
France,7,"The Tour de France has been running for over 100 years."
France,8,"Turning a baguette upside down is considered unlucky in French culture."
France,9,"France is the most popular tourist destination in the world."
France,10,"The French army was the first to use camouflage in 1915 during WWI."
France,11,"A 1910 law technically forbids couples from kissing on train platforms to avoid delays."
France,12,"The croissant was actually invented in Austria, not France."
France,13,"France has more Nobel Prizes in Literature than any other country."
France,14,"The French eat an average of 500 million snails every year."
France,15,"France is the largest country in the European Union by land area."
Germany,1,"Germany has over 20,000 castles scattered across the country."
Germany,2,"The world's first printed book (the Gutenberg Bible) was printed in Germany."
Germany,3,"There are over 300 different types of bread and over 1,000 types of sausage."
Germany,4,"Oktoberfest actually starts in September."
Germany,5,"Berlin has more bridges than Venice (over 1,700)."
Germany,6,"The gummy bear was invented in Germany by Hans Riegel (HARIBO)."
Germany,7,"65% of the Autobahn has no officially mandated speed limit."
Germany,8,"Germany was the first country in the world to adopt Daylight Saving Time (1916)."
Germany,9,"Fanta was created in Germany during WWII because Coca-Cola syrup was unavailable."
Germany,10,"There are more than 400 zoos in Germany, the highest number in the world."
Germany,11,"It is a tradition for children to receive a 'Schultüte' (a cone of sweets) on their first day of school."
Germany,12,"Donaudampfschifffahrtselektrizitätenhaupt-betriebswerkbauunterbeamtengesellschaft is one of the longest words ever."
Germany,13,"The Christmas tree tradition (Tannenbaum) originated in Germany."
Germany,14,"Trying to escape from prison is not a crime in Germany because it's considered a basic human instinct to be free."
Germany,15,"Germany has the third-most Nobel Prize winners in the world."
Italy,1,"Italy has more UNESCO World Heritage Sites than any other country (59)."
Italy,2,"The thermometer, piano, and battery were all invented in Italy."
Italy,3,"Vatican City and San Marino are two independent countries located entirely inside Italy."
Italy,4,"Italy is the world's largest producer of wine."
Italy,5,"Over 1 million Euros in coins are thrown into the Trevi Fountain in Rome every year."
Italy,6,"There are over 600 different shapes of pasta produced in Italy."
Italy,7,"The University of Bologna is the oldest continuously operating university in the world (est. 1088)."
Italy,8,"Pizza was 'invented' in Naples in the 1800s."
Italy,9,"Italy has three active volcanoes: Etna, Vesuvius, and Stromboli."
Italy,10,"The average Italian consumes about 23kg of pasta per year."
Italy,11,"It is considered bad luck to place bread upside down on a table."
Italy,12,"The fork became popular in Italy long before the rest of Europe because it helped people eat pasta."
Italy,13,"Italy’s flag colors represent hope (green), faith (white), and charity (red)."
Italy,14,"The Vespa scooter was first manufactured in Italy in 1946."
Italy,15,"Italy is the only country in the world where you can find a 'wine fountain' that flows 24/7 (in Abruzzo)."
San Marino,1,"San Marino is the world's oldest republic, founded in 301 AD."
San Marino,2,"It is the only country in the world with more vehicles than people."
San Marino,3,"The country is led by two 'Captains Regent' who are elected every six months."
San Marino,4,"San Marino is completely surrounded by Italy."
San Marino,5,"The 'Three Towers of San Marino' are perched on the peaks of Monte Titano and appear on the flag."
San Marino,6,"San Marino remained neutral during both World Wars."
San Marino,7,"Abraham Lincoln was an honorary citizen of San Marino."
San Marino,8,"San Marino has one of the world's lowest unemployment rates."
San Marino,9,"The national cake is 'Torta Tre Monti' (Cake of the Three Mountains)."
San Marino,10,"San Marino issued the world's first postage stamps specifically for collectors in 1877."
San Marino,11,"The country is not in the EU, but it has permission to use the Euro and mint its own coins."
San Marino,12,"The 'Statue of Liberty' in San Marino is located in the Liberty Square (Piazza della Libertà)."
San Marino,13,"San Marino has a professional football team that competes in the Italian league system."
San Marino,14,"The entire historic center of San Marino is a UNESCO World Heritage Site."
San Marino,15,"Despite its size, San Marino has its own small military and police force."
Turkey,2,"Istanbul is the only city in the world located on two continents (Europe and Asia)."
Turkey,1,"Turkey is the birthplace of Saint Nicholas, who lived in the ancient city of Myra."
Turkey,3,"The world's oldest known temple, Göbekli Tepe, is located in southeastern Turkey."
Turkey,4,"Agriculture began in Turkey roughly 11,000 years ago in the Fertile Crescent."
Turkey,5,"The first ever Christian church built by man was in Antioch (Antakya), Turkey."
Turkey,6,"Tulips were originally wild flowers in Turkey and were introduced to the Netherlands from there."
Turkey,7,"Turkey is the world's largest producer of hazelnuts, providing about 70% of the global supply."
Turkey,8,"The city of Troy, made famous in Homer’s Iliad, is located in modern-day Turkey."
Turkey,9,"Turkish delight (Lokum) is one of the oldest sweets in the world, dating back 500 years."
Turkey,10,"The 'Evil Eye' (Nazar Boncuğu) is the most popular souvenir and cultural symbol in Turkey."
Turkey,11,"Turkey has one of the world's oldest and largest covered markets, the Grand Bazaar."
Turkey,12,"Santa Claus's home city (Myra) features a church dedicated to him where he was a bishop."
Turkey,13,"The legendary King Midas, who turned everything to gold, ruled the kingdom of Phrygia in Turkey."
Turkey,14,"Oil wrestling is the national sport of Turkey."
Turkey,15,"Turkey has a high-speed rail system that connects Istanbul to Ankara."
Azerbaijan,1,"Azerbaijan is known as the 'Land of Fire' due to its natural gas fires that burn eternally."
Azerbaijan,2,"The capital, Baku, is the lowest-lying capital city in the world at 28 meters below sea level."
Azerbaijan,3,"Azerbaijan is home to nearly half of the world's mud volcanoes."
Azerbaijan,4,"Baku has a 'Little Venice', a park with man-made canals and gondolas."
Azerbaijan,5,"The Heydar Aliyev Center in Baku has no sharp angles, symbolizing infinite flow."
Azerbaijan,6,"Azerbaijan was the first Muslim-majority country to grant women the right to vote (1918)."
Azerbaijan,7,"Crude oil baths are a traditional health treatment in the town of Naftalan."
Azerbaijan,8,"Azerbaijan is famous for its intricate hand-woven carpets, which are UNESCO treasures."
Azerbaijan,9,"The Nobel brothers made much of their fortune from the oil fields in Baku."
Azerbaijan,10,"Tea is the most popular drink and is traditionally served in pear-shaped glasses called armudu."
Azerbaijan,11,"The Burning Mountain (Yanar Dag) has been on fire for at least 65 years without stopping."
Azerbaijan,12,"The Caspian Sea, which Azerbaijan borders, is technically the world's largest lake."
Azerbaijan,13,"Azerbaijan has nine out of eleven world climate zones within its borders."
Azerbaijan,14,"The Karabakh horse is the national animal and is famous for its speed and intelligence."
Azerbaijan,15,"Baku's 'Flame Towers' are covered in LED screens that look like giant flickering fires at night."
Georgia,1,"Georgia is one of the oldest wine-producing regions in the world, dating back 8,000 years."
Georgia,2,"The Georgian language has its own unique 33-letter alphabet found nowhere else."
Georgia,3,"Georgia is home to the world's deepest cave, Veryovkina Cave (2,212 meters deep)."
Georgia,4,"The village of Ushguli is the highest continuously inhabited settlement in Europe."
Georgia,5,"Georgians call their country 'Sakartvelo'."
Georgia,6,"The ancient Greeks believed the Golden Fleece was hidden in the Georgian region of Colchis."
Georgia,7,"Stalin was born in the Georgian town of Gori; his childhood home is now a museum."
Georgia,8,"Georgia has 12 different climate zones, from subtropical to alpine desert."
Georgia,9,"The 'Supra' is a traditional Georgian feast led by a toastmaster called a Tamada."
Georgia,10,"Polyphonic singing in Georgia is a UNESCO Intangible Cultural Heritage."
Georgia,11,"Georgia has over 2,000 mineral springs, and its Borjomi water is world-famous."
Georgia,12,"The Bagrati Cathedral and Gelati Monastery are iconic UNESCO medieval sites."
Georgia,13,"Georgians believe that a guest is a 'gift from God' and treat them with extreme hospitality."
Georgia,14,"The Prometheus Cave features stunning stalactites that are millions of years old."
Georgia,15,"The national dance, Kartuli, is known for its graceful, gliding movements."
Armenia,1,"Armenia was the first country in the world to adopt Christianity as its state religion (301 AD)."
Armenia,2,"Mount Ararat, where Noah's Ark supposedly landed, is a national symbol for Armenians."
Armenia,3,"Yerevan is one of the world's oldest continuously inhabited cities, older than Rome."
Armenia,4,"Armenia is home to the world’s oldest leather shoe, found in a cave and dated at 5,500 years old."
Armenia,5,"Chess is a mandatory subject in Armenian schools for children over the age of six."
Armenia,6,"The world's longest reversible aerial tramway, 'Wings of Tatev', is located in Armenia."
Armenia,7,"Apricots are native to Armenia; their scientific name is Prunus armeniaca."
Armenia,8,"The 'Pink City' of Yerevan is so named because of the pink volcanic tuff stone used in buildings."
Armenia,9,"Armenian Lavash (flatbread) is listed on UNESCO’s Intangible Cultural Heritage list."
Armenia,10,"Lake Sevan is one of the largest high-altitude freshwater lakes in the world."
Armenia,11,"The Areni-1 winery is the oldest winery ever discovered, dating back 6,100 years."
Armenia,12,"There are more Armenians living outside Armenia (about 7 million) than inside (3 million)."
Armenia,13,"The Armenian alphabet was created in 405 AD by Mesrop Mashtots."
Armenia,14,"Khor Virap monastery offers the most iconic view of Mount Ararat."
Armenia,15,"Armenia has won multiple Olympic medals in wrestling and weightlifting."
Kazakhstan,1,"Kazakhstan is the largest landlocked country in the world."
Kazakhstan,2,"The Baikonur Cosmodrome is the world's first and largest operational space launch facility."
Kazakhstan,3,"Apples originated in the wild forests of Kazakhstan; the city name 'Almaty' means 'city of apples'."
Kazakhstan,4,"Horses were first domesticated in the plains of Kazakhstan about 5,500 years ago."
Kazakhstan,5,"Kazakhstan has the world's largest chimney, belonging to a power station in Ekibastuz."
Kazakhstan,6,"The traditional Kazakh home is the Yurt, a portable felt tent used by nomads."
Kazakhstan,7,"Kazakhstan is home to the 'Singing Dunes', sand dunes that produce a low hum like an organ."
Kazakhstan,8,"The national drink is Kumis, which is fermented mare’s milk."
Kazakhstan,9,"Kazakhstan has a lake (Lake Balkhash) that is half-freshwater and half-saltwater."
Kazakhstan,10,"The capital city, Astana, was known as Nur-Sultan for a few years before reverting in 2022."
Kazakhstan,11,"Kazakhstan contains 99 out of the 110 elements on the periodic table."
Kazakhstan,12,"The golden eagle is a national symbol and is traditionally used for hunting."
Kazakhstan,13,"Kazakhstan is the world's largest producer of uranium."
Kazakhstan,14,"The Medeu Skating Rink is the highest outdoor speed skating rink in the world."
Kazakhstan,15,"Kazakhstan is transcontinental, with about 10% of its land located in Europe."
Liechtenstein,1,"Liechtenstein is the world's leading producer of false teeth."
Liechtenstein,2,"The country has no military; it was disbanded in 1868 to save money."
Liechtenstein,3,"Liechtenstein is one of only two 'doubly landlocked' countries in the world."
Liechtenstein,4,"The national anthem has the same melody as the United Kingdom's 'God Save the King'."
Liechtenstein,5,"On the national holiday, the Prince invites all citizens to a garden party at Vaduz Castle."
Liechtenstein,6,"There is only one natural lake in the entire country, the Gampriner Seele."
Liechtenstein,7,"The Swiss military has accidentally 'invaded' Liechtenstein several times during training exercises."
Liechtenstein,8,"Liechtenstein is the only country in the world named after the family that owns it."
Liechtenstein,9,"You can 'rent' the entire country for events for roughly $70,000 a night."
Liechtenstein,10,"Liechtenstein has the highest GDP per capita in the world when adjusted for purchasing power."
Liechtenstein,11,"The country has no airport; the nearest major one is in Zurich, Switzerland."
Liechtenstein,12,"Liechtenstein is a major producer of high-quality postage stamps for collectors."
Liechtenstein,13,"The literacy rate in Liechtenstein is 100%."
Liechtenstein,14,"Women in Liechtenstein did not get the right to vote until 1984."
Liechtenstein,15,"Crime is so low that many residents don't even lock their front doors."
Monaco,1,"Monaco is the second smallest country in the world after Vatican City."
Monaco,2,"Citizens of Monaco (Monégasques) are forbidden by law from gambling at the casino."
Monaco,3,"Monaco has the world's highest life expectancy at approximately 89 years."
Monaco,4,"Monaco is so small you can walk across the entire country in about 56 minutes."
Monaco,5,"Monaco has more millionaires per capita than any other country in the world."
Monaco,6,"The Monaco Grand Prix is one of the oldest and most prestigious races in Formula One."
Monaco,7,"Monaco has no income tax for its residents."
Monaco,8,"The country has the world's highest police presence per capita."
Monaco,9,"Monaco's flag is almost identical to Indonesia's, but Monaco's is narrower."
Monaco,10,"The House of Grimaldi has ruled Monaco since 1297."
Monaco,11,"Oceanographic Museum of Monaco was once directed by Jacques Cousteau."
Monaco,12,"There is no airport in Monaco; residents use the airport in Nice, France."
Monaco,13,"Monaco has the world's most expensive real estate prices."
Monaco,14,"The 'Old Town' of Monaco is perched on a massive rock overlooking the sea."
Monaco,15,"Monaco is home to the world's largest luxury yacht show every September."
Andorra,1,"Andorra is the only country in the world where Catalan is the sole official language."
Andorra,2,"It is a co-principality, meaning it has two heads of state: the President of France and the Bishop of Urgell."
Andorra,3,"Andorra has no national bank and has never had its own currency."
Andorra,4,"The capital, Andorra la Vella, is the highest capital city in Europe."
Andorra,5,"Andorra has more museums per square kilometer than almost any other country."
Andorra,6,"The country has no airport and no railway system; it is only accessible by road."
Andorra,7,"Andorra has never had a national army or a ministry of defense."
